variable_name,column_number_ttgintt4,source_type,teacher_questionnaire_question,item,section,description,response_scale_or_values,available_idpop,available_files,recommended_cleaning_note
TT4G27E,135,teacher questionnaire item,Q27,E,Professional learning,Perceived impact of feedback on teaching practice. Item E.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G27F,136,teacher questionnaire item,Q27,F,Professional learning,Perceived impact of feedback on teaching practice. Item F.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G27G,137,teacher questionnaire item,Q27,G,Professional learning,Perceived impact of feedback on teaching practice. Item G.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G27H,138,teacher questionnaire item,Q27,H,Professional learning,Perceived impact of feedback on teaching practice. Item H.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G27I,139,teacher questionnaire item,Q27,I,Professional learning,Perceived impact of feedback on teaching practice. Item I.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G27J,140,teacher questionnaire item,Q27,J,Professional learning,Perceived impact of feedback on teaching practice. Item J.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G27K,141,teacher questionnaire item,Q27,K,Professional learning,Perceived impact of feedback on teaching practice. Item K.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G27L,142,teacher questionnaire item,Q27,L,Professional learning,Perceived impact of feedback on teaching practice. Item L.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G27M,143,teacher questionnaire item,Q27,M,Professional learning,Perceived impact of feedback on teaching practice. Item M.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G27N,144,teacher questionnaire item,Q27,N,Professional learning,Perceived impact of feedback on teaching practice. Item N.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G27O,145,teacher questionnaire item,Q27,O,Professional learning,Perceived impact of feedback on teaching practice. Item O.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G27P,146,teacher questionnaire item,Q27,P,Professional learning,Perceived impact of feedback on teaching practice. Item P.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G27R,147,teacher questionnaire item,Q27,R,Professional learning,Perceived impact of feedback on teaching practice. Item R.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,1,"atgintt4, ttgintt4",ISCED 1 primary-only item; expect structural missing values for ISCED 2/3 in the combined file.
TT4G28A,148,teacher questionnaire item,Q28,A,Professional learning,Teacher appraisal and review practices. Item A.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G28B,149,teacher questionnaire item,Q28,B,Professional learning,Teacher appraisal and review practices. Item B.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G28C,150,teacher questionnaire item,Q28,C,Professional learning,Teacher appraisal and review practices. Item C.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G28D,151,teacher questionnaire item,Q28,D,Professional learning,Teacher appraisal and review practices. Item D.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G28E,152,teacher questionnaire item,Q28,E,Professional learning,Teacher appraisal and review practices. Item E.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G28F,153,teacher questionnaire item,Q28,F,Professional learning,Teacher appraisal and review practices. Item F.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G28G,154,teacher questionnaire item,Q28,G,Professional learning,Teacher appraisal and review practices. Item G.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G30A,155,teacher questionnaire item,Q30,A,"Diversity, equity, and classroom/school context",Classroom/school conditions and student composition. Item A.,See teacher questionnaire/codebook for response labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G30B,156,teacher questionnaire item,Q30,B,"Diversity, equity, and classroom/school context",Classroom/school conditions and student composition. Item B.,See teacher questionnaire/codebook for response labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G30C,157,teacher questionnaire item,Q30,C,"Diversity, equity, and classroom/school context",Classroom/school conditions and student composition. Item C.,See teacher questionnaire/codebook for response labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G31A,158,teacher questionnaire item,Q31,A,"Diversity, equity, and classroom/school context",Teacher beliefs and attitudes about diversity/equity. Item A.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G31B,159,teacher questionnaire item,Q31,B,"Diversity, equity, and classroom/school context",Teacher beliefs and attitudes about diversity/equity. Item B.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G31C,160,teacher questionnaire item,Q31,C,"Diversity, equity, and classroom/school context",Teacher beliefs and attitudes about diversity/equity. Item C.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G31D,161,teacher questionnaire item,Q31,D,"Diversity, equity, and classroom/school context",Teacher beliefs and attitudes about diversity/equity. Item D.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G31E,162,teacher questionnaire item,Q31,E,"Diversity, equity, and classroom/school context",Teacher beliefs and attitudes about diversity/equity. Item E.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G31F,163,teacher questionnaire item,Q31,F,"Diversity, equity, and classroom/school context",Teacher beliefs and attitudes about diversity/equity. Item F.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G32A,164,teacher questionnaire item,Q32,A,"Diversity, equity, and classroom/school context",School policies or practices related to diversity/equity. Item A.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G32B,165,teacher questionnaire item,Q32,B,"Diversity, equity, and classroom/school context",School policies or practices related to diversity/equity. Item B.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G32C,166,teacher questionnaire item,Q32,C,"Diversity, equity, and classroom/school context",School policies or practices related to diversity/equity. Item C.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G33A,167,teacher questionnaire item,Q33,A,"Diversity, equity, and classroom/school context",Teacher practices related to social and emotional learning. Item A.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G33B,168,teacher questionnaire item,Q33,B,"Diversity, equity, and classroom/school context",Teacher practices related to social and emotional learning. Item B.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G33C,169,teacher questionnaire item,Q33,C,"Diversity, equity, and classroom/school context",Teacher practices related to social and emotional learning. Item C.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G33D,170,teacher questionnaire item,Q33,D,"Diversity, equity, and classroom/school context",Teacher practices related to social and emotional learning. Item D.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G33E,171,teacher questionnaire item,Q33,E,"Diversity, equity, and classroom/school context",Teacher practices related to social and emotional learning. Item E.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G33F,172,teacher questionnaire item,Q33,F,"Diversity, equity, and classroom/school context",Teacher practices related to social and emotional learning. Item F.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G33G,173,teacher questionnaire item,Q33,G,"Diversity, equity, and classroom/school context",Teacher practices related to social and emotional learning. Item G.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G34A,174,teacher questionnaire item,Q34,A,"Diversity, equity, and classroom/school context","School climate, safety, and student relations. Item A.",Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G34B,175,teacher questionnaire item,Q34,B,"Diversity, equity, and classroom/school context","School climate, safety, and student relations. Item B.",Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G34C,176,teacher questionnaire item,Q34,C,"Diversity, equity, and classroom/school context","School climate, safety, and student relations. Item C.",Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G34D,177,teacher questionnaire item,Q34,D,"Diversity, equity, and classroom/school context","School climate, safety, and student relations. Item D.",Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G34E,178,teacher questionnaire item,Q34,E,"Diversity, equity, and classroom/school context","School climate, safety, and student relations. Item E.",Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G34F,179,teacher questionnaire item,Q34,F,"Diversity, equity, and classroom/school context","School climate, safety, and student relations. Item F.",Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G34G,180,teacher questionnaire item,Q34,G,"Diversity, equity, and classroom/school context","School climate, safety, and student relations. Item G.",Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G34H,181,teacher questionnaire item,Q34,H,"Diversity, equity, and classroom/school context","School climate, safety, and student relations. Item H.",Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G35A,182,teacher questionnaire item,Q35,A,"Diversity, equity, and classroom/school context",Teacher collaboration and professional culture. Item A.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G35B,183,teacher questionnaire item,Q35,B,"Diversity, equity, and classroom/school context",Teacher collaboration and professional culture. Item B.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G35C,184,teacher questionnaire item,Q35,C,"Diversity, equity, and classroom/school context",Teacher collaboration and professional culture. Item C.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G35D,185,teacher questionnaire item,Q35,D,"Diversity, equity, and classroom/school context",Teacher collaboration and professional culture. Item D.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G35E,186,teacher questionnaire item,Q35,E,"Diversity, equity, and classroom/school context",Teacher collaboration and professional culture. Item E.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G35F,187,teacher questionnaire item,Q35,F,"Diversity, equity, and classroom/school context",Teacher collaboration and professional culture. Item F.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G35G,188,teacher questionnaire item,Q35,G,"Diversity, equity, and classroom/school context",Teacher collaboration and professional culture. Item G.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G35H,189,teacher questionnaire item,Q35,H,"Diversity, equity, and classroom/school context",Teacher collaboration and professional culture. Item H.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G35I,190,teacher questionnaire item,Q35,I,"Diversity, equity, and classroom/school context",Teacher collaboration and professional culture. Item I.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G35J,191,teacher questionnaire item,Q35,J,"Diversity, equity, and classroom/school context",Teacher collaboration and professional culture. Item J.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G36,192,teacher questionnaire item,Q36,,"Diversity, equity, and classroom/school context",Teacher views about school leadership and decision-making.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G37A,193,teacher questionnaire item,Q37,A,"Diversity, equity, and classroom/school context","School leadership, support, and working environment. Item A.",Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G37B,194,teacher questionnaire item,Q37,B,"Diversity, equity, and classroom/school context","School leadership, support, and working environment. Item B.",Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G37C,195,teacher questionnaire item,Q37,C,"Diversity, equity, and classroom/school context","School leadership, support, and working environment. Item C.",Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G37D,196,teacher questionnaire item,Q37,D,"Diversity, equity, and classroom/school context","School leadership, support, and working environment. Item D.",Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G37E,197,teacher questionnaire item,Q37,E,"Diversity, equity, and classroom/school context","School leadership, support, and working environment. Item E.",Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G37F,198,teacher questionnaire item,Q37,F,"Diversity, equity, and classroom/school context","School leadership, support, and working environment. Item F.",Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G37G,199,teacher questionnaire item,Q37,G,"Diversity, equity, and classroom/school context","School leadership, support, and working environment. Item G.",Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G37H,200,teacher questionnaire item,Q37,H,"Diversity, equity, and classroom/school context","School leadership, support, and working environment. Item H.",Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G37I,201,teacher questionnaire item,Q37,I,"Diversity, equity, and classroom/school context","School leadership, support, and working environment. Item I.",Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G38A,202,teacher questionnaire item,Q38,A,"Diversity, equity, and classroom/school context",Frequency of school/student behaviour or climate issues. Item A.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G38B,203,teacher questionnaire item,Q38,B,"Diversity, equity, and classroom/school context",Frequency of school/student behaviour or climate issues. Item B.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G38C,204,teacher questionnaire item,Q38,C,"Diversity, equity, and classroom/school context",Frequency of school/student behaviour or climate issues. Item C.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G38D,205,teacher questionnaire item,Q38,D,"Diversity, equity, and classroom/school context",Frequency of school/student behaviour or climate issues. Item D.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G38E,206,teacher questionnaire item,Q38,E,"Diversity, equity, and classroom/school context",Frequency of school/student behaviour or climate issues. Item E.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G38F,207,teacher questionnaire item,Q38,F,"Diversity, equity, and classroom/school context",Frequency of school/student behaviour or climate issues. Item F.,Yes/No or Likert grid; see teacher questionnaire/codebook for exact labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G47A,208,teacher questionnaire item,Q47,A,Teaching in the target class,Target class characteristics and teaching context. Item A.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G47B,209,teacher questionnaire item,Q47,B,Teaching in the target class,Target class characteristics and teaching context. Item B.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G47C,210,teacher questionnaire item,Q47,C,Teaching in the target class,Target class characteristics and teaching context. Item C.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G47D,211,teacher questionnaire item,Q47,D,Teaching in the target class,Target class characteristics and teaching context. Item D.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G47E,212,teacher questionnaire item,Q47,E,Teaching in the target class,Target class characteristics and teaching context. Item E.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G47F,213,teacher questionnaire item,Q47,F,Teaching in the target class,Target class characteristics and teaching context. Item F.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G47G,214,teacher questionnaire item,Q47,G,Teaching in the target class,Target class characteristics and teaching context. Item G.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G47H,215,teacher questionnaire item,Q47,H,Teaching in the target class,Target class characteristics and teaching context. Item H.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G47I,216,teacher questionnaire item,Q47,I,Teaching in the target class,Target class characteristics and teaching context. Item I.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G47J,217,teacher questionnaire item,Q47,J,Teaching in the target class,Target class characteristics and teaching context. Item J.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G47K,218,teacher questionnaire item,Q47,K,Teaching in the target class,Target class characteristics and teaching context. Item K.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G48A,219,teacher questionnaire item,Q48,A,Teaching in the target class,Subjects taught to the target class; primary-only detailed subject follow-ups are coded TT4G48BA-TT4G48BL. Item A.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G48BA,220,teacher questionnaire item,Q48,BA,Teaching in the target class,Subjects taught to the target class; primary-only detailed subject follow-ups are coded TT4G48BA-TT4G48BL. Item BA.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,1,"atgintt4, ttgintt4",ISCED 1 primary-only item; expect structural missing values for ISCED 2/3 in the combined file.
TT4G48BB,221,teacher questionnaire item,Q48,BB,Teaching in the target class,Subjects taught to the target class; primary-only detailed subject follow-ups are coded TT4G48BA-TT4G48BL. Item BB.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,1,"atgintt4, ttgintt4",ISCED 1 primary-only item; expect structural missing values for ISCED 2/3 in the combined file.
TT4G48BC,222,teacher questionnaire item,Q48,BC,Teaching in the target class,Subjects taught to the target class; primary-only detailed subject follow-ups are coded TT4G48BA-TT4G48BL. Item BC.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,1,"atgintt4, ttgintt4",ISCED 1 primary-only item; expect structural missing values for ISCED 2/3 in the combined file.
TT4G48BD,223,teacher questionnaire item,Q48,BD,Teaching in the target class,Subjects taught to the target class; primary-only detailed subject follow-ups are coded TT4G48BA-TT4G48BL. Item BD.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,1,"atgintt4, ttgintt4",ISCED 1 primary-only item; expect structural missing values for ISCED 2/3 in the combined file.
TT4G48BE,224,teacher questionnaire item,Q48,BE,Teaching in the target class,Subjects taught to the target class; primary-only detailed subject follow-ups are coded TT4G48BA-TT4G48BL. Item BE.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,1,"atgintt4, ttgintt4",ISCED 1 primary-only item; expect structural missing values for ISCED 2/3 in the combined file.
