new_name,variable_name,description
classroom_management_and_student_behaviour_in_the_target_cla_a,TT4G53A,Classroom management and student behaviour in the target class. Item A.
classroom_management_and_student_behaviour_in_the_target_cla_b,TT4G53B,Classroom management and student behaviour in the target class. Item B.
classroom_management_and_student_behaviour_in_the_target_cla_c,TT4G53C,Classroom management and student behaviour in the target class. Item C.
classroom_management_and_student_behaviour_in_the_target_cla_d,TT4G53D,Classroom management and student behaviour in the target class. Item D.
classroom_management_and_student_behaviour_in_the_target_cla_e,TT4G53E,Classroom management and student behaviour in the target class. Item E.
classroom_management_and_student_behaviour_in_the_target_cla_f,TT4G53F,Classroom management and student behaviour in the target class. Item F.
use_of_teaching_resources_or_instructional_materials_a,TT4G54A,Use of teaching resources or instructional materials. Item A.
use_of_teaching_resources_or_instructional_materials_b,TT4G54B,Use of teaching resources or instructional materials. Item B.
use_of_teaching_resources_or_instructional_materials_c,TT4G54C,Use of teaching resources or instructional materials. Item C.
use_of_teaching_resources_or_instructional_materials_d,TT4G54D,Use of teaching resources or instructional materials. Item D.
teacher_self_efficacy_and_instructional_confidence_a,TT4G55A,Teacher self-efficacy and instructional confidence. Item A.
teacher_self_efficacy_and_instructional_confidence_b,TT4G55B,Teacher self-efficacy and instructional confidence. Item B.
teacher_self_efficacy_and_instructional_confidence_c,TT4G55C,Teacher self-efficacy and instructional confidence. Item C.
teacher_self_efficacy_and_instructional_confidence_d,TT4G55D,Teacher self-efficacy and instructional confidence. Item D.
teacher_self_efficacy_and_instructional_confidence_e,TT4G55E,Teacher self-efficacy and instructional confidence. Item E.
student_engagement_and_classroom_practice_a,TT4G56A,Student engagement and classroom practice. Item A.
student_engagement_and_classroom_practice_b,TT4G56B,Student engagement and classroom practice. Item B.
student_engagement_and_classroom_practice_c,TT4G56C,Student engagement and classroom practice. Item C.
student_engagement_and_classroom_practice_d,TT4G56D,Student engagement and classroom practice. Item D.
teaching_adaptation_and_support_for_diverse_learners_a,TT4G57A,Teaching adaptation and support for diverse learners. Item A.
teaching_adaptation_and_support_for_diverse_learners_b,TT4G57B,Teaching adaptation and support for diverse learners. Item B.
teaching_adaptation_and_support_for_diverse_learners_c,TT4G57C,Teaching adaptation and support for diverse learners. Item C.
teaching_adaptation_and_support_for_diverse_learners_d,TT4G57D,Teaching adaptation and support for diverse learners. Item D.
teaching_adaptation_and_support_for_diverse_learners_e,TT4G57E,Teaching adaptation and support for diverse learners. Item E.
digital_resources_tools_and_technology_use_in_teaching_a,TT4G58A,Digital resources/tools and technology use in teaching. Item A.
digital_resources_tools_and_technology_use_in_teaching_b,TT4G58B,Digital resources/tools and technology use in teaching. Item B.
digital_resources_tools_and_technology_use_in_teaching_c,TT4G58C,Digital resources/tools and technology use in teaching. Item C.
digital_resources_tools_and_technology_use_in_teaching_d,TT4G58D,Digital resources/tools and technology use in teaching. Item D.
digital_resources_tools_and_technology_use_in_teaching_e,TT4G58E,Digital resources/tools and technology use in teaching. Item E.
digital_resources_tools_and_technology_use_in_teaching_f,TT4G58F,Digital resources/tools and technology use in teaching. Item F.
digital_resources_tools_and_technology_use_in_teaching_g,TT4G58G,Digital resources/tools and technology use in teaching. Item G.
support_barriers_or_confidence_related_to_digital_technology_a,TT4G59A,"Support, barriers, or confidence related to digital technology use. Item A."
support_barriers_or_confidence_related_to_digital_technology_b,TT4G59B,"Support, barriers, or confidence related to digital technology use. Item B."
support_barriers_or_confidence_related_to_digital_technology_c,TT4G59C,"Support, barriers, or confidence related to digital technology use. Item C."
support_barriers_or_confidence_related_to_digital_technology_d,TT4G59D,"Support, barriers, or confidence related to digital technology use. Item D."
support_barriers_or_confidence_related_to_digital_technology_e,TT4G59E,"Support, barriers, or confidence related to digital technology use. Item E."
support_barriers_or_confidence_related_to_digital_technology_f,TT4G59F,"Support, barriers, or confidence related to digital technology use. Item F."
teacher_practices_related_to_digital_resources_tools_a,TT4G60A,Teacher practices related to digital resources/tools. Item A.
teacher_practices_related_to_digital_resources_tools_b,TT4G60B,Teacher practices related to digital resources/tools. Item B.
teacher_practices_related_to_digital_resources_tools_c,TT4G60C,Teacher practices related to digital resources/tools. Item C.
teacher_practices_related_to_digital_resources_tools_d,TT4G60D,Teacher practices related to digital resources/tools. Item D.
teacher_practices_related_to_digital_resources_tools_e,TT4G60E,Teacher practices related to digital resources/tools. Item E.
school_support_for_digital_resources_tools_a,TT4G61A,School support for digital resources/tools. Item A.
school_support_for_digital_resources_tools_b,TT4G61B,School support for digital resources/tools. Item B.
school_support_for_digital_resources_tools_c,TT4G61C,School support for digital resources/tools. Item C.
school_support_for_digital_resources_tools_d,TT4G61D,School support for digital resources/tools. Item D.
school_support_for_digital_resources_tools_e,TT4G61E,School support for digital resources/tools. Item E.
school_support_for_digital_resources_tools_f,TT4G61F,School support for digital resources/tools. Item F.
teacher_needs_or_experiences_related_to_digital_technology_a,TT4G62A,Teacher needs or experiences related to digital technology. Item A.
teacher_needs_or_experiences_related_to_digital_technology_b,TT4G62B,Teacher needs or experiences related to digital technology. Item B.
teacher_needs_or_experiences_related_to_digital_technology_c,TT4G62C,Teacher needs or experiences related to digital technology. Item C.
teacher_needs_or_experiences_related_to_digital_technology_d,TT4G62D,Teacher needs or experiences related to digital technology. Item D.
teacher_perceptions_of_technology_use_a,TT4G63A,Teacher perceptions of technology use. Item A.
teacher_perceptions_of_technology_use_b,TT4G63B,Teacher perceptions of technology use. Item B.
teacher_perceptions_of_technology_use_c,TT4G63C,Teacher perceptions of technology use. Item C.
teacher_perceptions_of_technology_use_d,TT4G63D,Teacher perceptions of technology use. Item D.
artificial_intelligence_use_preparation_or_perceptions_for_t_a,TT4G64A,"Artificial intelligence use, preparation, or perceptions for teaching and learning. Item A."
artificial_intelligence_use_preparation_or_perceptions_for_t_b,TT4G64B,"Artificial intelligence use, preparation, or perceptions for teaching and learning. Item B."
artificial_intelligence_use_preparation_or_perceptions_for_t_c,TT4G64C,"Artificial intelligence use, preparation, or perceptions for teaching and learning. Item C."
artificial_intelligence_use_preparation_or_perceptions_for_t_d,TT4G64D,"Artificial intelligence use, preparation, or perceptions for teaching and learning. Item D."
artificial_intelligence_use_preparation_or_perceptions_for_t_e,TT4G64E,"Artificial intelligence use, preparation, or perceptions for teaching and learning. Item E."
artificial_intelligence_use_preparation_or_perceptions_for_t_f,TT4G64F,"Artificial intelligence use, preparation, or perceptions for teaching and learning. Item F."
artificial_intelligence_use_preparation_or_perceptions_for_t_g,TT4G64G,"Artificial intelligence use, preparation, or perceptions for teaching and learning. Item G."
artificial_intelligence_use_preparation_or_perceptions_for_t_h,TT4G64H,"Artificial intelligence use, preparation, or perceptions for teaching and learning. Item H."
artificial_intelligence_use_preparation_or_perceptions_for_t_i,TT4G64I,"Artificial intelligence use, preparation, or perceptions for teaching and learning. Item I."
artificial_intelligence_use_preparation_or_perceptions_for_t_j,TT4G64J,"Artificial intelligence use, preparation, or perceptions for teaching and learning. Item J."
artificial_intelligence_use_preparation_or_perceptions_for_t_k,TT4G64K,"Artificial intelligence use, preparation, or perceptions for teaching and learning. Item K."
artificial_intelligence_use_preparation_or_perceptions_for_t_l,TT4G64L,"Artificial intelligence use, preparation, or perceptions for teaching and learning. Item L."
artificial_intelligence_support_barriers_or_practices_a,TT4G65A,"Artificial intelligence support, barriers, or practices. Item A."
artificial_intelligence_support_barriers_or_practices_b,TT4G65B,"Artificial intelligence support, barriers, or practices. Item B."
artificial_intelligence_support_barriers_or_practices_c,TT4G65C,"Artificial intelligence support, barriers, or practices. Item C."
artificial_intelligence_support_barriers_or_practices_d,TT4G65D,"Artificial intelligence support, barriers, or practices. Item D."
teacher_student_use_of_digital_or_ai_related_tools_a,TT4G66A,Teacher/student use of digital or AI-related tools. Item A.
teacher_student_use_of_digital_or_ai_related_tools_b,TT4G66B,Teacher/student use of digital or AI-related tools. Item B.
teacher_student_use_of_digital_or_ai_related_tools_c,TT4G66C,Teacher/student use of digital or AI-related tools. Item C.
teacher_student_use_of_digital_or_ai_related_tools_d,TT4G66D,Teacher/student use of digital or AI-related tools. Item D.
teacher_student_use_of_digital_or_ai_related_tools_e,TT4G66E,Teacher/student use of digital or AI-related tools. Item E.
teacher_student_use_of_digital_or_ai_related_tools_f,TT4G66F,Teacher/student use of digital or AI-related tools. Item F.
teacher_student_use_of_digital_or_ai_related_tools_g,TT4G66G,Teacher/student use of digital or AI-related tools. Item G.
teacher_student_use_of_digital_or_ai_related_tools_h,TT4G66H,Teacher/student use of digital or AI-related tools. Item H.
teacher_student_use_of_digital_or_ai_related_tools_i,TT4G66I,Teacher/student use of digital or AI-related tools. Item I.
teacher_student_use_of_digital_or_ai_related_tools_j,TT4G66J,Teacher/student use of digital or AI-related tools. Item J.
additional_technology_or_ai_related_teaching_items_a,TT4G67A,Additional technology or AI-related teaching items. Item A.
additional_technology_or_ai_related_teaching_items_b,TT4G67B,Additional technology or AI-related teaching items. Item B.
additional_technology_or_ai_related_teaching_items_c,TT4G67C,Additional technology or AI-related teaching items. Item C.
additional_technology_or_ai_related_teaching_items_d,TT4G67D,Additional technology or AI-related teaching items. Item D.
frequency_grid_for_technology_artificial_intelligence_relate_a1,TT4G68A1,Frequency grid for technology/artificial-intelligence-related use cases. Item A1.
frequency_grid_for_technology_artificial_intelligence_relate_a2,TT4G68A2,Frequency grid for technology/artificial-intelligence-related use cases. Item A2.
frequency_grid_for_technology_artificial_intelligence_relate_a3,TT4G68A3,Frequency grid for technology/artificial-intelligence-related use cases. Item A3.
frequency_grid_for_technology_artificial_intelligence_relate_a4,TT4G68A4,Frequency grid for technology/artificial-intelligence-related use cases. Item A4.
frequency_grid_for_technology_artificial_intelligence_relate_b1,TT4G68B1,Frequency grid for technology/artificial-intelligence-related use cases. Item B1.
frequency_grid_for_technology_artificial_intelligence_relate_b2,TT4G68B2,Frequency grid for technology/artificial-intelligence-related use cases. Item B2.
frequency_grid_for_technology_artificial_intelligence_relate_b3,TT4G68B3,Frequency grid for technology/artificial-intelligence-related use cases. Item B3.
frequency_grid_for_technology_artificial_intelligence_relate_b4,TT4G68B4,Frequency grid for technology/artificial-intelligence-related use cases. Item B4.
frequency_grid_for_technology_artificial_intelligence_relate_c1,TT4G68C1,Frequency grid for technology/artificial-intelligence-related use cases. Item C1.
frequency_grid_for_technology_artificial_intelligence_relate_c2,TT4G68C2,Frequency grid for technology/artificial-intelligence-related use cases. Item C2.
frequency_grid_for_technology_artificial_intelligence_relate_c3,TT4G68C3,Frequency grid for technology/artificial-intelligence-related use cases. Item C3.
frequency_grid_for_technology_artificial_intelligence_relate_c4,TT4G68C4,Frequency grid for technology/artificial-intelligence-related use cases. Item C4.
frequency_grid_for_technology_artificial_intelligence_relate_d1,TT4G68D1,Frequency grid for technology/artificial-intelligence-related use cases. Item D1.
frequency_grid_for_technology_artificial_intelligence_relate_d2,TT4G68D2,Frequency grid for technology/artificial-intelligence-related use cases. Item D2.
frequency_grid_for_technology_artificial_intelligence_relate_d3,TT4G68D3,Frequency grid for technology/artificial-intelligence-related use cases. Item D3.
frequency_grid_for_technology_artificial_intelligence_relate_d4,TT4G68D4,Frequency grid for technology/artificial-intelligence-related use cases. Item D4.
frequency_grid_for_technology_artificial_intelligence_relate_e1,TT4G68E1,Frequency grid for technology/artificial-intelligence-related use cases. Item E1.
frequency_grid_for_technology_artificial_intelligence_relate_e2,TT4G68E2,Frequency grid for technology/artificial-intelligence-related use cases. Item E2.
frequency_grid_for_technology_artificial_intelligence_relate_e3,TT4G68E3,Frequency grid for technology/artificial-intelligence-related use cases. Item E3.
frequency_grid_for_technology_artificial_intelligence_relate_e4,TT4G68E4,Frequency grid for technology/artificial-intelligence-related use cases. Item E4.
frequency_grid_for_technology_artificial_intelligence_relate_f1,TT4G68F1,Frequency grid for technology/artificial-intelligence-related use cases. Item F1.
frequency_grid_for_technology_artificial_intelligence_relate_f2,TT4G68F2,Frequency grid for technology/artificial-intelligence-related use cases. Item F2.
frequency_grid_for_technology_artificial_intelligence_relate_f3,TT4G68F3,Frequency grid for technology/artificial-intelligence-related use cases. Item F3.
frequency_grid_for_technology_artificial_intelligence_relate_f4,TT4G68F4,Frequency grid for technology/artificial-intelligence-related use cases. Item F4.
school_or_classroom_practices_related_to_digital_technology_a,TT4G69A,School or classroom practices related to digital technology/artificial intelligence. Item A.
school_or_classroom_practices_related_to_digital_technology_b,TT4G69B,School or classroom practices related to digital technology/artificial intelligence. Item B.
school_or_classroom_practices_related_to_digital_technology_c,TT4G69C,School or classroom practices related to digital technology/artificial intelligence. Item C.
school_or_classroom_practices_related_to_digital_technology_d,TT4G69D,School or classroom practices related to digital technology/artificial intelligence. Item D.
school_or_classroom_practices_related_to_digital_technology_e,TT4G69E,School or classroom practices related to digital technology/artificial intelligence. Item E.
school_or_classroom_practices_related_to_digital_technology_f,TT4G69F,School or classroom practices related to digital technology/artificial intelligence. Item F.
school_or_classroom_practices_related_to_digital_technology_g,TT4G69G,School or classroom practices related to digital technology/artificial intelligence. Item G.
school_or_classroom_practices_related_to_digital_technology_h,TT4G69H,School or classroom practices related to digital technology/artificial intelligence. Item H.
teacher_views_on_digital_ai_opportunities_or_risks_a,TT4G70A,Teacher views on digital/AI opportunities or risks. Item A.
teacher_views_on_digital_ai_opportunities_or_risks_b,TT4G70B,Teacher views on digital/AI opportunities or risks. Item B.
teacher_views_on_digital_ai_opportunities_or_risks_c,TT4G70C,Teacher views on digital/AI opportunities or risks. Item C.
teacher_views_on_digital_ai_opportunities_or_risks_d,TT4G70D,Teacher views on digital/AI opportunities or risks. Item D.
teacher_views_on_digital_ai_opportunities_or_risks_e,TT4G70E,Teacher views on digital/AI opportunities or risks. Item E.
teacher_preparation_support_related_to_digital_ai_use_a,TT4G71A,Teacher preparation/support related to digital/AI use. Item A.
teacher_preparation_support_related_to_digital_ai_use_b,TT4G71B,Teacher preparation/support related to digital/AI use. Item B.
teacher_preparation_support_related_to_digital_ai_use_c,TT4G71C,Teacher preparation/support related to digital/AI use. Item C.
teacher_preparation_support_related_to_digital_ai_use_d,TT4G71D,Teacher preparation/support related to digital/AI use. Item D.
teacher_preparation_support_related_to_digital_ai_use_e,TT4G71E,Teacher preparation/support related to digital/AI use. Item E.
teacher_perceptions_of_digital_ai_use_in_teaching_and_learni_a,TT4G72A,Teacher perceptions of digital/AI use in teaching and learning. Item A.
teacher_perceptions_of_digital_ai_use_in_teaching_and_learni_b,TT4G72B,Teacher perceptions of digital/AI use in teaching and learning. Item B.
teacher_perceptions_of_digital_ai_use_in_teaching_and_learni_c,TT4G72C,Teacher perceptions of digital/AI use in teaching and learning. Item C.
teacher_perceptions_of_digital_ai_use_in_teaching_and_learni_d,TT4G72D,Teacher perceptions of digital/AI use in teaching and learning. Item D.
teacher_perceptions_of_digital_ai_use_in_teaching_and_learni_e,TT4G72E,Teacher perceptions of digital/AI use in teaching and learning. Item E.
teacher_perceptions_of_digital_ai_use_in_teaching_and_learni_f,TT4G72F,Teacher perceptions of digital/AI use in teaching and learning. Item F.
motivations_for_becoming_a_teacher_a,TT4G73A,Motivations for becoming a teacher. Item A.
motivations_for_becoming_a_teacher_b,TT4G73B,Motivations for becoming a teacher. Item B.
motivations_for_becoming_a_teacher_c,TT4G73C,Motivations for becoming a teacher. Item C.
motivations_for_becoming_a_teacher_d,TT4G73D,Motivations for becoming a teacher. Item D.
motivations_for_becoming_a_teacher_e,TT4G73E,Motivations for becoming a teacher. Item E.
motivations_for_becoming_a_teacher_f,TT4G73F,Motivations for becoming a teacher. Item F.
motivations_for_becoming_a_teacher_g,TT4G73G,Motivations for becoming a teacher. Item G.
motivations_for_becoming_a_teacher_h,TT4G73H,Motivations for becoming a teacher. Item H.
motivations_for_becoming_a_teacher_i,TT4G73I,Motivations for becoming a teacher. Item I.
number_of_more_years_the_teacher_wants_to_continue_working_a,TT4G74,Number of more years the teacher wants to continue working as a teacher.
likelihood_that_listed_factors_will_cause_the_teacher_to_lea_a,TT4G75A,Likelihood that listed factors will cause the teacher to leave teaching in the next five years. Item A.
likelihood_that_listed_factors_will_cause_the_teacher_to_lea_b,TT4G75B,Likelihood that listed factors will cause the teacher to leave teaching in the next five years. Item B.
likelihood_that_listed_factors_will_cause_the_teacher_to_lea_c,TT4G75C,Likelihood that listed factors will cause the teacher to leave teaching in the next five years. Item C.
likelihood_that_listed_factors_will_cause_the_teacher_to_lea_d,TT4G75D,Likelihood that listed factors will cause the teacher to leave teaching in the next five years. Item D.
likelihood_that_listed_factors_will_cause_the_teacher_to_lea_e,TT4G75E,Likelihood that listed factors will cause the teacher to leave teaching in the next five years. Item E.
stress_work_life_balance_and_health_impacts_a,TT4G76A,"Stress, work-life balance, and health impacts. Item A."
stress_work_life_balance_and_health_impacts_b,TT4G76B,"Stress, work-life balance, and health impacts. Item B."
stress_work_life_balance_and_health_impacts_c,TT4G76C,"Stress, work-life balance, and health impacts. Item C."
stress_work_life_balance_and_health_impacts_d,TT4G76D,"Stress, work-life balance, and health impacts. Item D."
sources_of_stress_in_the_teacher_s_work_a,TT4G77A,Sources of stress in the teacher's work. Item A.
sources_of_stress_in_the_teacher_s_work_b,TT4G77B,Sources of stress in the teacher's work. Item B.
sources_of_stress_in_the_teacher_s_work_c,TT4G77C,Sources of stress in the teacher's work. Item C.
sources_of_stress_in_the_teacher_s_work_d,TT4G77D,Sources of stress in the teacher's work. Item D.
sources_of_stress_in_the_teacher_s_work_e,TT4G77E,Sources of stress in the teacher's work. Item E.
sources_of_stress_in_the_teacher_s_work_f,TT4G77F,Sources of stress in the teacher's work. Item F.
sources_of_stress_in_the_teacher_s_work_g,TT4G77G,Sources of stress in the teacher's work. Item G.
sources_of_stress_in_the_teacher_s_work_h,TT4G77H,Sources of stress in the teacher's work. Item H.
sources_of_stress_in_the_teacher_s_work_i,TT4G77I,Sources of stress in the teacher's work. Item I.
sources_of_stress_in_the_teacher_s_work_j,TT4G77J,Sources of stress in the teacher's work. Item J.
sources_of_stress_in_the_teacher_s_work_k,TT4G77K,Sources of stress in the teacher's work. Item K.
sources_of_stress_in_the_teacher_s_work_l,TT4G77L,Sources of stress in the teacher's work. Item L.
sources_of_stress_in_the_teacher_s_work_m,TT4G77M,Sources of stress in the teacher's work. Item M.
sources_of_stress_in_the_teacher_s_work_n,TT4G77N,Sources of stress in the teacher's work. Item N.
sources_of_stress_in_the_teacher_s_work_o,TT4G77O,Sources of stress in the teacher's work. Item O.
sources_of_stress_in_the_teacher_s_work_p,TT4G77P,Sources of stress in the teacher's work. Item P.
job_satisfaction_school_satisfaction_and_perceived_societal_a,TT4G78A,"Job satisfaction, school satisfaction, and perceived societal value of teaching. Item A."
job_satisfaction_school_satisfaction_and_perceived_societal_b,TT4G78B,"Job satisfaction, school satisfaction, and perceived societal value of teaching. Item B."
job_satisfaction_school_satisfaction_and_perceived_societal_c,TT4G78C,"Job satisfaction, school satisfaction, and perceived societal value of teaching. Item C."
job_satisfaction_school_satisfaction_and_perceived_societal_d,TT4G78D,"Job satisfaction, school satisfaction, and perceived societal value of teaching. Item D."
job_satisfaction_school_satisfaction_and_perceived_societal_e,TT4G78E,"Job satisfaction, school satisfaction, and perceived societal value of teaching. Item E."
job_satisfaction_school_satisfaction_and_perceived_societal_f,TT4G78F,"Job satisfaction, school satisfaction, and perceived societal value of teaching. Item F."
job_satisfaction_school_satisfaction_and_perceived_societal_g,TT4G78G,"Job satisfaction, school satisfaction, and perceived societal value of teaching. Item G."
job_satisfaction_school_satisfaction_and_perceived_societal_h,TT4G78H,"Job satisfaction, school satisfaction, and perceived societal value of teaching. Item H."
job_satisfaction_school_satisfaction_and_perceived_societal_i,TT4G78I,"Job satisfaction, school satisfaction, and perceived societal value of teaching. Item I."
job_satisfaction_school_satisfaction_and_perceived_societal_j,TT4G78J,"Job satisfaction, school satisfaction, and perceived societal value of teaching. Item J."
additional_occupational_perception_and_work_satisfaction_sta_a,TT4G79A,Additional occupational perception and work satisfaction statements. Item A.
additional_occupational_perception_and_work_satisfaction_sta_b,TT4G79B,Additional occupational perception and work satisfaction statements. Item B.
additional_occupational_perception_and_work_satisfaction_sta_c,TT4G79C,Additional occupational perception and work satisfaction statements. Item C.
additional_occupational_perception_and_work_satisfaction_sta_d,TT4G79D,Additional occupational perception and work satisfaction statements. Item D.
additional_occupational_perception_and_work_satisfaction_sta_e,TT4G79E,Additional occupational perception and work satisfaction statements. Item E.
additional_occupational_perception_and_work_satisfaction_sta_f,TT4G79F,Additional occupational perception and work satisfaction statements. Item F.
additional_occupational_perception_and_work_satisfaction_sta_g,TT4G79G,Additional occupational perception and work satisfaction statements. Item G.
teacher_well_being_or_working_condition_statements_a,TT4G80A,Teacher well-being or working-condition statements. Item A.
teacher_well_being_or_working_condition_statements_b,TT4G80B,Teacher well-being or working-condition statements. Item B.
teacher_well_being_or_working_condition_statements_c,TT4G80C,Teacher well-being or working-condition statements. Item C.
teacher_well_being_or_working_condition_statements_d,TT4G80D,Teacher well-being or working-condition statements. Item D.
additional_job_related_beliefs_or_school_profession_percepti_a,TT4G82A,Additional job-related beliefs or school/profession perceptions. Item A.
additional_job_related_beliefs_or_school_profession_percepti_b,TT4G82B,Additional job-related beliefs or school/profession perceptions. Item B.
additional_job_related_beliefs_or_school_profession_percepti_c,TT4G82C,Additional job-related beliefs or school/profession perceptions. Item C.
additional_job_related_beliefs_or_school_profession_percepti_d,TT4G82D,Additional job-related beliefs or school/profession perceptions. Item D.
additional_job_related_beliefs_or_school_profession_percepti_e,TT4G82E,Additional job-related beliefs or school/profession perceptions. Item E.
additional_teacher_occupational_perception_items_a,TT4G83A,Additional teacher occupational perception items. Item A.
additional_teacher_occupational_perception_items_b,TT4G83B,Additional teacher occupational perception items. Item B.
additional_teacher_occupational_perception_items_c,TT4G83C,Additional teacher occupational perception items. Item C.
additional_teacher_occupational_perception_items_d,TT4G83D,Additional teacher occupational perception items. Item D.
additional_teacher_occupational_perception_items_e,TT4G83E,Additional teacher occupational perception items. Item E.
additional_teacher_occupational_perception_items_f,TT4G83F,Additional teacher occupational perception items. Item F.
additional_teacher_occupational_perception_items_g,TT4G83G,Additional teacher occupational perception items. Item G.
final_questionnaire_item_in_teacher_survey_check_questionnai,TT4G84,Final questionnaire item in teacher survey; check questionnaire/codebook for exact wording.
teacher_age_group_derived_variable,T4TAGEGR,Teacher age group derived variable.
teacher_highest_education_educational_attainment_derived_var,T4THEDAT,Teacher highest education / educational attainment derived variable.
teacher_qualification_type_derived_variable,T4TYQUAL,Teacher qualification type derived variable.
teacher_employment_status_work_hours_derived_variable,T4TEMPWH,Teacher employment status/work hours derived variable.
target_class_information_derived_variable,T4CLSINF,Target class information derived variable.
formal_appraisal_support_practices_derived_variable,T4FASPR,Formal appraisal/support practices derived variable.
teaching_experience_derived_variable,T4TYEXPE,Teaching experience derived variable.
teacher_tenure_at_school_derived_variable,T4TNSCH,Teacher tenure at school derived variable.
teaching_experience_at_school_derived_variable,T4TYEXPTS,Teaching experience at school derived variable.
total_teaching_experience_derived_variable,T4TYEXPTT,Total teaching experience derived variable.
other_work_experience_derived_variable,T4TYEXPO,Other work experience derived variable.
target_class_size_derived_variable,T4TCSIZE,Target class size derived variable.
language_background_instruction_derived_variable,T4TLANGN,Language background/instruction derived variable.
professional_learning_subject_matter_participation_derived_v,T4PDSUBMP,Professional learning subject matter participation derived variable.
professional_learning_diversity_inclusion_derived_variable,T4PDIV,Professional learning diversity/inclusion derived variable.
professional_learning_barriers_derived_variable,T4PDBR,Professional learning barriers derived variable.
exchange_information_sharing_among_teachers_scale_or_index,T4EXINF,Exchange/information sharing among teachers scale or index.
collective_professional_learning_exchange_scale_or_index,T4COLES,Collective professional learning/exchange scale or index.
teacher_self_efficacy_in_classroom_management_scale_or_index,T4SECLS,Teacher self-efficacy in classroom management scale or index.
teacher_self_efficacy_in_instruction_scale_or_index,T4SEINS,Teacher self-efficacy in instruction scale or index.
teacher_self_efficacy_in_student_engagement_scale_or_index,T4SEENG,Teacher self-efficacy in student engagement scale or index.
teacher_self_efficacy_scale_or_index,T4SELF,Teacher self-efficacy scale or index.
self_efficacy_in_multicultural_multilingual_settings_scale_o,T4SEMUL,Self-efficacy in multicultural/multilingual settings scale or index.
growth_mindset_or_student_development_scale_index,T4GROMST,Growth mindset or student development scale/index.
self_efficacy_for_special_education_needs_scale_index,T4SESEN,Self-efficacy for special education needs scale/index.
social_and_emotional_learning_collaboration_scale_index,T4COMSEL,Social and emotional learning / collaboration scale/index.
self_efficacy_with_digital_resources_tools_scale_index,T4SEDRT,Self-efficacy with digital resources/tools scale/index.
beliefs_about_digital_resources_tools_scale_index,T4BLFDRT,Beliefs about digital resources/tools scale/index.
advantages_of_digital_resources_tools_scale_index,T4ADVDRT,Advantages of digital resources/tools scale/index.
classroom_innovation_or_classroom_instruction_scale_index,T4CLAIN,Classroom innovation or classroom instruction scale/index.
cognitive_activation_scale_index,T4COGAC,Cognitive activation scale/index.
classroom_management_scale_index,T4CLASM,Classroom management scale/index.
professional_learning_participation_scale_index,T4PDGENP,Professional learning participation scale/index.
digital_resources_tools_working_conditions_support_scale_ind,T4DRTWCI,Digital resources/tools working conditions/support scale/index.
digital_resources_tools_or_ai_integration_scale_index,T4DRTIIA,Digital resources/tools or AI integration scale/index.
empathy_support_or_student_support_scale_index,T4EMPS,Empathy/support or student support scale/index.
classroom_disciplinary_climate_scale_index,T4CLSDIS,Classroom disciplinary climate scale/index.
adaptive_learning_adaptive_teaching_scale_index,T4ADLE,Adaptive learning / adaptive teaching scale/index.
problem_based_learning_scale_index,T4PBLE,Problem-based learning scale/index.
teacher_autonomy_scale_index,T4AUTCH,Teacher autonomy scale/index.
teacher_fulfillment_scale_index,T4FULFIL,Teacher fulfillment scale/index.
opportunities_to_participate_shared_decision_making_scale_in,T4OPPART,Opportunities to participate / shared decision-making scale/index.
student_social_and_emotional_development_scale_index,T4SESDEV,Student social and emotional development scale/index.
teacher_leadership_scale_index,T4TLEAD,Teacher leadership scale/index.
student_teacher_relations_scale_index,T4STUD,Student-teacher relations scale/index.
responsive_effective_leadership_scale_index,T4RELEAD,Responsive/effective leadership scale/index.
instructional_leadership_scale_index,T4INSTLE,Instructional leadership scale/index.
bullying_or_school_climate_scale_index,T4CLIBUL,Bullying or school climate scale/index.
student_harassment_safety_scale_index,T4STUHAR,Student harassment/safety scale/index.
climate_change_attitudes_teaching_scale_index,T4CHFAT,Climate-change attitudes/teaching scale/index.
motivation_to_teach_personal_utility_scale_index,T4MOPU,Motivation to teach: personal utility scale/index.
motivation_to_teach_social_utility_scale_index,T4MOSU,Motivation to teach: social utility scale/index.
teacher_well_being_scale_index,T4WELS,Teacher well-being scale/index.
teacher_workload_stress_scale_index,T4WLOADT,Teacher workload/stress scale/index.
student_behaviour_scale_index,T4STBEH,Student behaviour scale/index.
job_satisfaction_with_school_work_environment_scale_index,T4JSENVT,Job satisfaction with school/work environment scale/index.
job_satisfaction_with_profession_scale_index,T4JSPROT,Job satisfaction with profession scale/index.
overall_job_satisfaction_scale_index,T4JOBSAT,Overall job satisfaction scale/index.
perceived_value_of_teaching_profession_scale_index,T4VALP,Perceived value of teaching profession scale/index.
joy_of_teaching_scale_index,T4JOYTCH,Joy of teaching scale/index.
target_population_isced_level_1_isced_1_primary_2_isced_2_lo,IDPOP,Target population / ISCED level: 1 = ISCED 1 primary; 2 = ISCED 2 lower secondary; 3 = ISCED 3 upper secondary.
adjustment_or_response_rate_design_variable_supplied_by_tali,ADJRT24,Adjustment or response-rate/design variable supplied by TALIS.
school_weight_for_teacher_file_analyses,SCHWGTT,School weight for teacher-file analyses.
final_teacher_sampling_weight,TCHWGT,Final teacher sampling weight. Use for weighted descriptive statistics.
teacher_replicate_weight,TRWGT1,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
